Title,Link,Heritage Category,Grade,Location
RAVENSWORTH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1025190,Listing,II*,RAVENSWORTH CASTLE  CROSS LANE  Lamesley  Gateshead
AMBERLEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1027499,Listing,I,AMBERLEY CASTLE  CHURCH STREET  Amberley  Horsham  West Sussex
ARUNDEL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1027926,Listing,I,ARUNDEL CASTLE  ARUNDEL CASTLE  Arundel  Arun  West Sussex
BOLEBROKE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1028285,Listing,II*,BOLEBROKE CASTLE  Hartfield  Wealden  East Sussex
THE CASTLE GATEWAY AND WALLS ADJOINING TO THE EAST AND SOUTH,https://HistoricEngland.org.uk/listing/the-list/list-entry/1029253,Listing,I,THE CASTLE GATEWAY AND WALLS ADJOINING TO THE EAST AND SOUTH  QUARRY STREET  GUILDFORD  Guildford  Surrey
Framlingham Castle and Red House,https://HistoricEngland.org.uk/listing/the-list/list-entry/1030383,Listing,I,Castle Street  Framlingham  Suffolk  IP13 9BP  Framlingham  East Suffolk  Suffolk
CLARE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1031764,Listing,II*,CLARE CASTLE  Clare  West Suffolk  Suffolk
Bungay Castle,https://HistoricEngland.org.uk/listing/the-list/list-entry/1034404,Listing,I,Earsham Street and Castle Orchard  Bungay  Suffolk  NR35 1DD  Bungay  East Suffolk  Suffolk
CARISBROOKE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1034657,Listing,I,CARISBROOKE CASTLE  Newport  Isle of Wight
